player_name,mlbam_id,status,pre_pitches_pulled,post_pitches_pulled,role_return,pre_ff_velo,post_ff_velo,velo_change,pre_ff_count,post_ff_count,SI_pre_pct,SI_post_pct,SI_delta,CH_pre_pct,CH_post_pct,CH_delta,ST_pre_pct,ST_post_pct,ST_delta,FF_pre_pct,FF_post_pct,FF_delta,SL_pre_pct,SL_post_pct,SL_delta,CU_pre_pct,CU_post_pct,CU_delta,FC_pre_pct,FC_post_pct,FC_delta,PO_pre_pct,PO_post_pct,PO_delta
Cody Poteet,547001,OK,557,453,SP,94.9,93.33,-1.57,78.0,87.0,0.09333333333333334,0.24749163879598662,0.1541583054626533,0.4166666666666667,0.1939799331103679,-0.22268673355629878,0.0033333333333333335,0.1705685618729097,0.16723522853957637,0.26,0.2909698996655518,0.030969899665551803,0.18666666666666668,0.0,-0.18666666666666668,0.04,0.09698996655518395,0.05698996655518395,0.0,0.0,0.0,0.0,0.0,0.0
Sean Reid-Foley,656887,OK,615,616,RP,95.39,95.61,0.21,147.0,201.0,0.0,0.006968641114982578,0.006968641114982578,0.17567567567567569,0.17421602787456447,-0.0014596478011112135,0.0,0.0,0.0,0.4966216216216216,0.7003484320557491,0.20372681043412755,0.3277027027027027,0.11846689895470383,-0.20923580374799886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garrett Crochet,676979,OK,996,1245,SP,96.41,96.25,-0.16,172.0,187.0,0.0,0.0,0.0,0.033962264150943396,0.06506849315068493,0.031106228999741532,0.2339622641509434,0.2808219178082192,0.04685965365727579,0.6490566037735849,0.6404109589041096,-0.008645644869475277,0.0830188679245283,0.0136986301369863,-0.069320237787542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Glasnow,607192,OK,2883,2080,SP,96.79,96.92,0.13,153.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.48333333333333334,-0.026666666666666672,0.37666666666666665,0.31,-0.06666666666666665,0.11333333333333333,0.20666666666666667,0.09333333333333334,0.0,0.0,0.0,0.0,0.0,0.0
Dustin May,669160,OK,1657,1356,SP,98.33,97.96,-0.37,50.0,81.0,0.41,0.26666666666666666,-0.1433333333333333,0.0,0.04666666666666667,0.04666666666666667,0.22,0.22,0.0,0.16666666666666666,0.27,0.10333333333333336,0.03666666666666667,0.01,-0.026666666666666665,0.0,0.0,0.0,0.16666666666666666,0.18666666666666668,0.020000000000000018,0.0,0.0,0.0
Rico Garcia,670329,INSUFFICIENT_PITCHES,204,306,RP,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seranthony Dominguez,622554,INSUFFICIENT_PITCHES,10,910,RP,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colin Poche,621363,OK,579,1173,RP,92.82,93.53,0.71,212.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8983050847457628,0.8,-0.09830508474576272,0.0847457627118644,0.0,-0.0847457627118644,0.01694915254237288,0.2,0.18305084745762712,0.0,0.0,0.0,0.0,0.0,0.0
Noah Syndergaard,592789,OK,3158,2064,RP/SP,97.61,94.62,-2.98,68.0,60.0,0.3306122448979592,0.2737226277372263,-0.05688961716073293,0.12244897959183673,0.25547445255474455,0.13302547296290781,0.0,0.0,0.0,0.27755102040816326,0.21897810218978103,-0.05857291821838223,0.18775510204081633,0.14963503649635038,-0.03812006554446595,0.08163265306122448,0.10218978102189781,0.020557127960673327,0.0,0.0,0.0,0.0,0.0,0.0
Luis Severino,622663,OK,399,1739,RP/SP,95.95,96.04,0.1,165.0,143.0,0.0,0.006666666666666667,0.006666666666666667,0.17333333333333334,0.21666666666666667,0.043333333333333335,0.0,0.0,0.0,0.55,0.4766666666666667,-0.07333333333333336,0.27666666666666667,0.25,-0.026666666666666672,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0
Ryan Burr,621114,OK,597,777,RP,95.04,94.64,-0.4,177.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.5366666666666666,-0.053333333333333344,0.18,0.15,-0.03,0.0,0.0,0.0,0.23,0.31333333333333335,0.08333333333333334,0.0,0.0,0.0
Silvino Bracho,611093,INSUFFICIENT_PITCHES,595,86,RP,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Montgomery,656756,OK,2203,791,SP,90.62,92.55,1.93,58.0,26.0,0.26,0.33796296296296297,0.07796296296296296,0.20666666666666667,0.20833333333333334,0.0016666666666666774,0.0,0.0,0.0,0.19333333333333333,0.12037037037037036,-0.07296296296296297,0.08,0.0,-0.08,0.26,0.24074074074074073,-0.01925925925925928,0.0,0.09259259259259259,0.09259259259259259,0.0,0.0,0.0
Rafael Montero,606160,OK,2334,500,RP,94.14,95.61,1.47,61.0,127.0,0.24528301886792453,0.08333333333333333,-0.16194968553459121,0.25471698113207547,0.36,0.10528301886792452,0.0,0.0,0.0,0.28773584905660377,0.42333333333333334,0.13559748427672957,0.20754716981132076,0.13333333333333333,-0.07421383647798743,0.0,0.0,0.0,0.0,0.0,0.0,0.0047169811320754715,0.0,-0.0047169811320754715
Trevor Rosenthal,572096,OK,1083,449,RP,97.21,97.97,0.76,195.0,214.0,0.0,0.02666666666666667,0.02666666666666667,0.16387959866220736,0.04,-0.12387959866220735,0.0,0.0,0.0,0.6521739130434783,0.7133333333333334,0.061159420289855104,0.18394648829431437,0.22,0.03605351170568563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
